date;value
18.01.2016;387,17
19.01.2016;380,15
20.01.2016;420,23
21.01.2016;410,26
22.01.2016;382,49
23.01.2016;387,49
24.01.2016;402,97
25.01.2016;391,73
26.01.2016;392,15
27.01.2016;394,97
28.01.2016;380,29
29.01.2016;379,47
30.01.2016;378,25
31.01.2016;368,77
01.02.2016;373,06
02.02.2016;374,45
03.02.2016;369,95
04.02.2016;389,59
05.02.2016;386,55
06.02.2016;376,52
07.02.2016;376,62
08.02.2016;373,45
09.02.2016;376,03
10.02.2016;381,65
11.02.2016;379,65
12.02.2016;384,26
13.02.2016;391,86
14.02.2016;407,23
15.02.2016;400,19
16.02.2016;407,49
17.02.2016;416,32
18.02.2016;422,37
19.02.2016;420,79
20.02.2016;437,16
21.02.2016;438,8
22.02.2016;437,75
23.02.2016;420,74
24.02.2016;424,95
25.02.2016;424,54
26.02.2016;432,15
27.02.2016;432,52
28.02.2016;433,5
29.02.2016;437,7
01.03.2016;435,12
02.03.2016;423,99
03.03.2016;421,65
04.03.2016;410,94
05.03.2016;400,57
06.03.2016;407,71
07.03.2016;414,32
08.03.2016;413,97
09.03.2016;414,86
10.03.2016;417,13
11.03.2016;421,69
12.03.2016;411,62
13.03.2016;414,06
14.03.2016;416,44
15.03.2016;416,83
16.03.2016;417,01
17.03.2016;420,62
18.03.2016;409,55
19.03.2016;410,44
20.03.2016;413,75
21.03.2016;413,31
22.03.2016;418,09
23.03.2016;418,04
24.03.2016;416,39
25.03.2016;417,18
26.03.2016;417,94
27.03.2016;426,76
28.03.2016;424,23
29.03.2016;416,52
30.03.2016;414,82
31.03.2016;416,73
01.04.2016;417,96
02.04.2016;420,87
03.04.2016;420,9
04.04.2016;421,44
05.04.2016;424,03
06.04.2016;423,41
07.04.2016;422,75
08.04.2016;420,35
09.04.2016;419,41
10.04.2016;421,56
11.04.2016;422,48
12.04.2016;425,19
13.04.2016;423,73
14.04.2016;424,28
15.04.2016;429,71
16.04.2016;430,57
17.04.2016;427,4
18.04.2016;428,59
19.04.2016;435,51
20.04.2016;441,39
21.04.2016;449,43
22.04.2016;445,74
23.04.2016;450,28
24.04.2016;458,56
25.04.2016;461,43
26.04.2016;466,09
27.04.2016;444,69
28.04.2016;449,01
29.04.2016;455,1
30.04.2016;448,32
01.05.2016;451,88
02.05.2016;444,67
03.05.2016;450,3
04.05.2016;446,72
05.05.2016;447,98
06.05.2016;459,6
07.05.2016;458,54
08.05.2016;458,55
09.05.2016;460,48
10.05.2016;450,89
11.05.2016;452,73
12.05.2016;454,77
13.05.2016;455,67
14.05.2016;455,67
15.05.2016;457,57
16.05.2016;454,16
17.05.2016;453,78
18.05.2016;454,62
19.05.2016;438,71
20.05.2016;442,68
21.05.2016;443,19
22.05.2016;439,32
23.05.2016;444,15
24.05.2016;445,98
25.05.2016;449,6
26.05.2016;453,38
27.05.2016;473,46
28.05.2016;530,04
29.05.2016;526,23
30.05.2016;533,86
31.05.2016;531,39
01.06.2016;536,92
02.06.2016;537,97
03.06.2016;569,19
04.06.2016;572,73
05.06.2016;574,98
06.06.2016;585,54
07.06.2016;576,6
08.06.2016;581,64
09.06.2016;574,63
10.06.2016;577,47
